Organization Name,Industries,Description,CB Rank,Min Revenue,Max Revenue,Operating Status,Founded Date,Closed Date,Company Type,isWebsite,isTwitter,isFacebook,isLinkedIn,isContactEmail,isPhoneNumber,Number of Articles,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Total Funding Amount Currency (in USD),Number of Lead Investors,Number of Investors,Number of Acquisitions,makeAcquisition,wasAcquisition,IPO Status,Number of Events,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,Country,City,State,Headquarters Regions,isInTop100
La Haus,"Information Technology, Marketplace, Real Estate, Residential",La Haus is a residential marketplace used to help people find an ideal home.,"1,457","1,000,000",10000000,Active,01/04/2017,,For Profit,1,1,1,1,1,0,8,"Commerce and Shopping, Information Technology, Real Estate",5,101-250,7,Early Stage Venture,14/01/2021,58174998,3,12,0,0,0,Private,0,62,0,0,10,0,0,Colombia,Medellín,Antioquia,Latin America,1
Elenas,"Beauty, Cosmetics, Direct Sales, E-Commerce","Elenas is a Latin American social commerce platform, empowering micro-entrepreneurs to start their online store.","2,462",0,0,Active,01/01/2018,,For Profit,1,0,1,0,0,0,7,"Commerce and Shopping, Consumer Goods, Sales and Marketing",2,0-50,3,Early Stage Venture,04/03/2021,8540000,1,6,0,0,0,Private,0,26,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Dondo,,Get what you want giving what you have,"3,109",0,0,Active,01/04/2019,,For Profit,1,1,1,1,1,0,12,,4,0-50,2,Seed,19/01/2021,2100000,1,13,0,0,0,Private,0,7,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Aflore,"Credit, Finance, Financial Services, FinTech",Aflore is a developer of tech-enabled direct sales channel to help informal advisors realize goals through loans and financial products.,"3,449","1,000,000",10000000,Active,01/01/2012,,For Profit,1,1,1,1,1,1,4,"Financial Services, Lending and Investments",2,51-100,12,,05/02/2021,29092905,3,5,0,0,0,Private,0,47,0,0,10,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Backstartup,"Accounting, Financial Services, Small and Medium Businesses",SwaS (Software with a services) that automates and replaces the accountant for Latin Americas SMBs,"3,607",0,1000000,Active,08/09/2014,,For Profit,1,1,1,1,1,0,2,"Financial Services, Other, Professional Services",4,51-100,4,Seed,17/02/2021,2105000,1,7,0,0,0,Private,0,44,0,0,33,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Polymath Ventures,"FinTech, Rental Property, Transportation",Polymath Ventures is a Digital Venture Group that builds from scratch and scales disruptive tech ventures for Latin America's middle class.,"4,354","1,000,000",10000000,Active,01/10/2011,,For Profit,1,1,1,1,1,1,10,"Financial Services, Real Estate, Transportation",2,0-50,4,Early Stage Venture,01/01/2020,9425000,0,0,0,0,0,Private,0,47,0,0,15,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Liftit,"Freight Service, Internet, Last Mile Transportation, Logistics, Supply Chain Management, Transportation",Liftit is the leading technology platform to automate and execute last-mile truck deliveries across Latin America.,"5,562",0,1000000,Active,07/01/2017,,For Profit,1,1,1,1,1,1,8,"Internet Services, Transportation",3,251-500,3,Early Stage Venture,08/07/2020,39000000,3,26,0,0,0,Private,0,57,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Chiper,"B2B, E-Commerce, Retail Technology",Chiper is a Colombian e-commerce platform for independent merchants that enables corner stores in Latin America to grow and thrive.,"6,199","50,000,000",100000000,Active,01/01/2018,,For Profit,1,0,1,1,1,1,19,"Commerce and Shopping, Hardware, Other, Software",3,101-250,3,Early Stage Venture,16/10/2020,25000000,4,9,0,0,0,Private,0,88,0,0,5,0,0,Colombia,Cundinamarca,Distrito Especial,Latin America,1
Habi,"Home Renovation, Real Estate, Real Estate Investment, Residential, Software",Habi is a digital platform that aims to simplify the process of buying and selling real estate properties in Colombia.,"7,387","1,000,000",10000000,Active,01/07/2019,,For Profit,1,1,1,1,1,1,2,"Financial Services, Real Estate, Software",2,0-50,2,Early Stage Venture,26/08/2020,15500000,2,15,0,0,0,Private,0,30,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Valiu,"Cryptocurrency, Finance, Financial Services, FinTech","Valiu is a developing a digital remittance platform that enables migrants to send money via cash, debit, or credit.","7,499","1,000,000",10000000,Active,17/09/2018,,For Profit,1,1,1,1,1,0,6,"Financial Services, Payments, Software",3,0-50,2,Seed,04/12/2020,6477000,3,9,0,0,0,Private,0,32,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Rappi,"Consumer Goods, E-Commerce, Food Delivery",Rappi is a consumer tech company that specializes in providing online delivery services.,"7,739","10,000,000",50000000,Active,01/01/2015,,For Profit,1,1,1,1,1,0,93,"Commerce and Shopping, Consumer Goods, Food and Beverage, Transportation",3,5001-10000,9,Late Stage Venture,24/09/2020,1692005447,8,38,0,0,0,Private,2,66,1,0,39,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
RobinFood,"Food and Beverage, Food Delivery, Restaurants, Retail Technology",RobinFood is an operator of a chain of restaurants used to provide access to quality and affordable homemade food.,"8,657",0,1000000,Active,01/03/2018,,For Profit,1,0,0,1,1,0,7,"Commerce and Shopping, Food and Beverage, Hardware, Software, Transportation",2,501-1000,4,Early Stage Venture,02/10/2020,36000000,2,3,0,0,0,Private,0,13,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Zinobe,"Big Data, Credit, Financial Services, FinTech, Insurance, Payments",Digital financial services company in the Colombian market. Developed a data centric credit model to help target underserved markets.,"9,826","1,000,000",10000000,Active,01/07/2011,,For Profit,1,0,0,1,1,1,1,"Data and Analytics, Financial Services, Lending and Investments, Payments",2,101-250,3,Early Stage Venture,01/04/2020,30000000,2,3,0,0,0,Private,0,6,0,0,18,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Tul,"Building Material, Construction, E-Commerce, Hardware, Mobile Apps",Tül offers an application where users can buy hardware and construction products directly from their phone.,"10,269",0,0,Active,22/01/2020,,For Profit,1,1,1,1,1,1,1,"Apps, Commerce and Shopping, Hardware, Mobile, Real Estate, Software",3,101-250,1,Seed,27/10/2020,4000000,1,2,0,0,0,Private,0,32,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Omni Latam,"Commercial Lending, Finance, Financial Services, FinTech, Risk Management",Omni Latam is a financial services platform (fintech) in Latin America that offers digital financial solutions.,"10,777","1,000,000",10000000,Active,01/01/2018,,For Profit,1,1,1,1,1,1,10,"Financial Services, Lending and Investments, Professional Services",3,101-250,4,M&A,03/09/2018,201650000,2,2,0,0,1,Private,0,17,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
LAIKA,"Consumer Goods, E-Commerce, Pet, Retail",LAIKA is an e-commerce platform for pets that offers a variety of products and services.,"11,647",0,0,Active,30/08/2017,,For Profit,1,0,1,1,1,1,2,"Commerce and Shopping, Community and Lifestyle, Consumer Goods",2,0-50,4,Seed,09/07/2020,7000000,1,10,0,0,0,Private,0,53,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Finsocial,"Banking, Financial Services",Finsocial provides credit solutions including payroll loan for teachers and pensioners.,"12,053",0,0,Active,01/01/2012,,For Profit,1,1,1,1,1,1,3,"Financial Services, Lending and Investments",0,251-500,2,,18/08/2020,145000000,3,3,0,0,0,Private,0,32,0,0,0,0,0,Colombia,Barranquilla,Atlantico,Latin America,0
Leal,"Analytics, Information Services, Information Technology, Internet","Leal is a digital platform for retailers in Latin America to identify, engage and reward their most valuable customers.","12,766","1,000,000",10000000,Active,15/06/2016,,For Profit,1,1,1,1,1,1,14,"Data and Analytics, Information Technology, Internet Services",2,51-100,6,Early Stage Venture,19/11/2020,12000000,1,1,0,0,0,Private,0,14,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Superfuds,"B2B, B2C, Consumer Goods",Superfüds is solving distribution for emerging brands in Latin America while helping mom & pop stores to earn more money,"13,445",0,1000000,Active,06/01/2016,,For Profit,1,0,1,1,1,1,7,"Consumer Goods, Other",1,101-250,5,Early Stage Venture,22/12/2020,5290000,2,2,0,0,0,Private,0,29,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Cubbo,"B2B, Logistics, Real Estate",Re-purposing distressed real estate assets into micro-fulfillment spaces throughout Latin America.,"13,719",0,0,Active,01/01/2021,,For Profit,0,0,1,1,1,1,0,"Other, Real Estate, Transportation",1,0-50,1,Seed,18/01/2021,2000000,0,21,0,0,0,Private,0,0,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Maestrik,"Apps, Education, Internet, Mobile, Software","You will find the classes, courses and workshops that increase your learning level, so you can project yourself and achieve your goals.","13,776",0,1000000,Active,17/06/2017,,For Profit,1,1,1,1,1,1,1,"Apps, Education, Internet Services, Mobile, Software",2,51-100,4,Seed,07/11/2019,2619970,0,1,1,1,0,Private,0,29,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Avista,"Financial Services, FinTech","Avista is a technology-based financial company reinventing people's financial lives through an ecosystem of simple, digital credit solutions","13,927","1,000,000,000",10000000000,Active,01/02/2019,,For Profit,1,0,0,1,1,0,1,Financial Services,0,251-500,1,,23/04/2020,75000000,0,0,0,0,0,Private,0,31,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Truora,"Developer Platform, Information Services, Security","Truora provides fast, innovative, and safe solution in background checks and identity theft detection.","14,245","1,000,000",10000000,Active,01/01/2018,,For Profit,1,0,0,1,1,0,6,"Information Technology, Privacy and Security, Software",4,0-50,3,Seed,01/06/2019,3450000,3,6,0,0,0,Private,0,57,0,0,0,0,0,Colombia,Cali,Valle del Cauca,Latin America,1
Ayenda Hotels,"Hospitality, Hotel, Travel",Fastest growing budget hotel chain.,"14,676",0,1000000,Active,01/05/2015,,For Profit,1,0,1,1,1,1,7,Travel and Tourism,1,101-250,2,Early Stage Venture,19/02/2020,10000000,2,7,0,0,0,Private,0,20,3,0,9,0,0,Colombia,Medellín,Antioquia,Latin America,0
Finaktiva,"Financial Services, FinTech, Information Technology, Lending, Small and Medium Businesses",Online lending platform for high impact SMEs in Colombia,"14,873",0,1000000,Active,01/01/2017,,For Profit,1,1,1,1,1,1,10,"Financial Services, Information Technology, Other",1,0-50,3,Early Stage Venture,30/06/2019,15000000,2,6,0,0,0,Private,1,21,0,0,0,0,0,Colombia,Medellín,Antioquia,Latin America,1
ontop,"Human Resources, SaaS","Taxes, Onboarding and Payroll manager for international teams","16,267",0,0,Active,01/07/2020,,For Profit,1,1,0,1,0,0,2,"Administrative Services, Software",3,0-50,2,Seed,14/12/2020,1300000,0,1,0,0,0,Private,0,35,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Sempli,"Financial Services, FinTech, Lending, Online Portals, Small and Medium Businesses",Sempli is the leading online lending platform for small businesses in Colombia.,"16,658",0,1000000,Active,01/01/2017,,For Profit,1,1,1,1,1,1,5,"Financial Services, Internet Services, Other",2,0-50,6,Early Stage Venture,30/04/2019,24000000,0,11,0,0,0,Private,0,37,0,0,0,0,0,Colombia,Medellín,Antioquia,Latin America,1
FLUVIP,"Advertising, Apps, Photo Sharing, Social Media Marketing, Video Streaming",Fluvip is an influencer marketing company in Latin America and the United States.,"16,769",0,1000000,Active,10/07/2013,,For Profit,1,1,1,1,1,1,7,"Advertising, Apps, Content and Publishing, Media and Entertainment, Sales and Marketing, Software, Video",1,101-250,5,Early Stage Venture,30/07/2018,7496821,1,4,1,1,0,Private,0,26,0,0,11,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Demetria,"Artificial Intelligence, Software",Demetria is an AI-powered taste and quality intelligence SaaS startup for the coffee supply chain.,"16,902",0,0,Active,01/01/2018,,,1,0,0,1,0,0,2,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",0,0-50,1,Seed,02/03/2021,3000000,1,2,0,0,0,Private,0,0,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Lentesplus,"Customer Service, E-Commerce, Eyewear, Health Care, Internet",Lentesplus.com is the leading online contact lens suscription platform for LATAM,"17,846","1,000,000",10000000,Active,01/01/2014,,For Profit,1,1,1,0,1,0,2,"Commerce and Shopping, Consumer Goods, Health Care, Internet Services, Other, Professional Services",3,51-100,4,Late Stage Venture,20/03/2020,13700000,2,5,0,0,0,Private,0,29,0,0,24,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Mi Aguila,"E-Commerce, Logistics, Software",Mi Aguila is a technology company focused on empowering traditional businesses in Latin America through logistics and e-commerce software.,"18,626","1,000,000",10000000,Active,01/01/2015,,For Profit,1,0,1,1,1,1,0,"Commerce and Shopping, Software, Transportation",2,101-250,4,Early Stage Venture,01/10/2020,8950000,3,4,0,0,0,Private,1,33,4,"4,891",0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Foody,"E-Commerce, Food and Beverage, Mobile Apps",Foody provides healthy food to the vast majority of Latin Americans with affordable prices,"19,798",0,1000000,Active,06/01/2017,,For Profit,1,0,1,1,1,0,1,"Apps, Commerce and Shopping, Food and Beverage, Mobile, Software",3,0-50,5,Seed,01/06/2020,459229,1,8,0,0,0,Private,0,58,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
MO Tecnologias,"Artificial Intelligence, Consumer Lending, Credit, Financial Services, FinTech, Information Technology, Micro Lending, Payments",MO Tecnologias is a Fintech that aims at revolutionizing the credit scoring industry and promoting financial inclusion.,"19,938","1,000,000",10000000,Active,01/01/2016,,For Profit,1,0,1,1,1,1,6,"Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Lending and Investments, Payments, Science and Engineering, Software",2,101-250,3,Early Stage Venture,12/12/2017,5495697,0,0,0,0,0,Private,3,12,0,0,0,1,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Farmalisto,"E-Commerce, Health Care",First regional pure player Online Pharmacy and support services to pharmaceutical industry in LATAM operating in Mexico and Colombia,"20,112",0,0,Active,17/10/2013,,For Profit,1,0,0,1,0,0,6,"Commerce and Shopping, Health Care",3,51-100,3,Early Stage Venture,23/12/2020,20500000,0,3,0,0,0,Private,0,74,0,0,15,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
LifeMiles,"Air Transportation, Loyalty Programs, Public Transportation",LifeMiles is the unified and improved frequent flyer program for Avianca and TACA.,"20,361","1,000,000",10000000,Active,01/03/2011,,For Profit,1,1,1,1,0,0,4,"Sales and Marketing, Transportation",0,101-250,1,Private Equity,13/07/2015,343700000,1,1,0,0,0,Private,0,46,3,"29,450",26,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Mercadoni,"Delivery, E-Commerce, Grocery, Internet, Software",Mercadoni operates an online shopping platform that allows customers to purchase from stores and supermarkets from their homes.,"20,510","1,000,000",10000000,Active,01/10/2015,,For Profit,1,1,1,1,0,0,6,"Administrative Services, Commerce and Shopping, Food and Beverage, Internet Services, Software",6,101-250,3,Early Stage Venture,05/01/2018,17200000,2,3,1,1,0,Private,0,4,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Minka,"Blockchain, Financial Services, FinTech, Venture Capital",Minka is a financial services cloud that enables fintechs to build solutions in days instead of years.,"20,530",0,1000000,Active,01/01/2015,,For Profit,1,1,1,1,1,0,4,"Financial Services, Lending and Investments, Other",1,0-50,5,Seed,14/05/2020,3500000,1,4,0,0,0,Private,2,31,0,0,7,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Domicilios.com,"E-Commerce, Food Delivery, Hospitality, Restaurants",Domicilios.com is an online food ordering service that enables its users to order and get food delivered from a range of local restaurants.,"21,389",0,0,Active,01/01/2009,,For Profit,1,1,1,1,1,0,16,"Commerce and Shopping, Food and Beverage, Transportation, Travel and Tourism",3,251-500,4,M&A,01/01/2016,47700000,2,2,1,1,1,Private,0,9,67,"22,106",9,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Picap,"Apps, Ride Sharing, Transportation",Picap is a Colombian ride-hailing service provider that helps people to request a ride-sharing service through their mobile phone.,"22,456","10,000,000",50000000,Active,01/05/2018,,For Profit,1,1,1,1,1,0,3,"Apps, Software, Transportation",2,101-250,1,Seed,23/03/2019,2500000,0,6,0,0,0,Private,0,28,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Simetrik,"Financial Services, FinTech, Software",Simetrik is a fintech startup delivering finance automation tools for excel based teams across the world,"23,000","1,000,000",10000000,Active,01/01/2017,,For Profit,1,0,1,1,1,0,1,"Financial Services, Software",2,51-100,2,,04/11/2019,2200000,1,6,0,0,0,Private,0,38,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
BEWE (formerly miora),"Computer, SaaS, Software",Spanish and Latin American SaaS for SMB,"24,031","1,000,000",10000000,Active,01/01/2015,,For Profit,1,1,1,1,0,0,4,"Consumer Electronics, Hardware, Software",1,0-50,2,Early Stage Venture,06/12/2018,6275354,2,6,1,1,0,Private,0,74,5,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
CelerSMS,"Internet of Things, Location Based Services, Mobile Apps, Software, Telecommunications","CelerSMS provides business solutions for IoT, M2M, and communication technologies.","27,425",0,0,Active,30/05/2019,,For Profit,1,1,1,1,1,1,7,"Apps, Data and Analytics, Hardware, Internet Services, Mobile, Navigation and Mapping, Software",1,1001-2000,1,IPO,01/08/2020,1335,0,0,0,0,0,Public,9,15,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Peiky,"E-Commerce, E-Commerce Platforms, Mobile, Social Network","A solution (web & mobile) that empowers the social commerce community, providing the tools to manage and optimize the social sales cycle.","27,817","10,000,000",50000000,Active,26/06/2018,,For Profit,1,1,1,1,1,1,4,"Commerce and Shopping, Internet Services, Mobile",4,51-100,5,,21/07/2020,4110000,0,3,0,0,0,Private,0,20,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Aptuno,"Property Management, Real Estate",Aptuno is a platform that provides seamless search and application experience for LatAm's residential renters.,"27,856",0,0,Active,01/09/2019,,For Profit,1,1,1,1,0,1,1,Real Estate,3,0-50,1,Seed,20/06/2020,680000,0,2,0,0,0,Private,0,26,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Finco.co,"Artificial Intelligence, Information Technology, Real Estate",Finco.co uses geolocated information and real estate data together with Artificial Intelligence to give you powerful insights.,"27,984","1,000,000",10000000,Active,,,,1,0,0,1,0,0,0,"Artificial Intelligence, Data and Analytics, Information Technology, Real Estate, Science and Engineering, Software",0,1001-2000,1,Seed,26/08/2020,129564,1,1,0,0,0,Private,0,22,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Cobre,Financial Services,Building workplace banks in LatAm,"28,256",0,0,Active,01/01/2020,,For Profit,1,0,0,1,1,0,0,Financial Services,0,0-50,1,Seed,01/09/2020,1200000,0,1,0,0,0,Private,0,9,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Rayo Credit Colombia,"Financial Services, FinTech, Personal Finance","RAYO Colombia is a platform designed to solve occasional financial needs, we specialize in instant mini loans, without collateral.","28,689",0,0,Active,01/11/2019,,For Profit,1,0,0,0,0,0,0,Financial Services,0,0-50,1,Seed,01/11/2019,1500000,1,1,0,0,0,Private,0,34,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
BioCredit,"Biometrics, Credit, Financial Services, FinTech, Internet","BioCredit is the first platform of its kind, which connects people.","28,894",0,1000000,Active,06/01/2017,,For Profit,1,1,1,1,1,1,5,"Biotechnology, Data and Analytics, Financial Services, Internet Services, Lending and Investments, Science and Engineering",2,0-50,3,Seed,01/03/2020,1820000,0,0,0,0,0,Private,3,52,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
doc-doc,"Health Care, Health Insurance, InsurTech, Medical",doc-doc is a Primary health care telemedicine service focused on specialists.,"29,826","1,000,000",10000000,Active,01/01/2019,,For Profit,1,1,1,1,1,1,0,"Financial Services, Health Care",1,0-50,3,Seed,30/09/2020,530000,3,6,0,0,0,Private,0,41,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Awake,"Adventure Travel, Social Entrepreneurship",Travel experiences platform that connects nature travelers with local hosts in remote and rural destinations of Colombia.,"30,451",0,0,Active,01/05/2013,,For Profit,1,1,1,1,1,1,3,"Community and Lifestyle, Travel and Tourism",1,0-50,2,Seed,23/07/2020,870000,1,1,0,0,0,Private,0,44,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
CIVICO,"Big Data, Emerging Markets, Local, Location Based Services, Mobile Payments, Small and Medium Businesses","We map cities and citizens by crowdsourcing location data to drive transactions between consumers, merchants and brands.","30,901","1,000,000",10000000,Active,01/09/2012,,For Profit,1,1,1,1,1,1,29,"Data and Analytics, Financial Services, Internet Services, Mobile, Navigation and Mapping, Other, Payments, Sales and Marketing, Software",3,51-100,4,Early Stage Venture,04/03/2019,11700000,1,2,0,0,0,Private,2,49,0,0,15,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
LOGYSTO,"E-Commerce, Logistics",Tech-enabled e-commerce logistics solution,"31,140","1,000,000",10000000,Active,01/01/2017,,For Profit,1,0,0,0,1,0,3,"Commerce and Shopping, Transportation",3,51-100,3,Seed,31/05/2020,2800000,0,1,0,0,0,Private,0,13,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
