Organization Name,Industries,Description,CB Rank,Min Revenue,Max Revenue,Operating Status,Founded Date,Closed Date,Company Type,isWebsite,isTwitter,isFacebook,isLinkedIn,isContactEmail,isPhoneNumber,Number of Articles,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Total Funding Amount Currency (in USD),Number of Lead Investors,Number of Investors,Number of Acquisitions,makeAcquisition,wasAcquisition,IPO Status,Number of Events,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,Country,City,State,Headquarters Regions,isInTop100
Frubana,"AgTech, B2B, E-Commerce, Logistics, Restaurants",Frubana is a B2B platform of agri-products and packed goods for restaurants and small retailers in LatAm.,"32,289","1,000,000",10000000,Active,01/06/2018,,For Profit,1,0,1,1,1,0,9,"Agriculture and Farming, Commerce and Shopping, Food and Beverage, Other, Transportation",1,101-250,3,Early Stage Venture,25/04/2020,37000000,3,8,0,0,0,Private,0,63,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Avianca Holdings,Transportation,"Avianca Holdings SA is a Panamanian company representing integrated several airlines that operate nationally and internationally,","33,483",0,0,Active,01/01/2009,,For Profit,1,1,1,1,1,0,47,Transportation,0,10001+,1,IPO,22/09/2020,2000000000,2,2,0,0,0,Public,1,13,0,0,11,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Addi,"Finance, Financial Services, FinTech",Addi is a technology company that provides credit and banking solutions.,"34,010",0,1000000,Active,01/01/2018,,For Profit,1,1,0,1,1,1,7,Financial Services,4,0-50,5,Early Stage Venture,22/05/2020,31300000,2,9,0,0,0,Private,0,51,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Viva Air,"Automotive, Transportation, Travel",Viva Air is a Colombian low-cost airline.,"34,726","10,000,000",50000000,Active,01/01/2017,,For Profit,1,0,0,0,0,0,5,"Transportation, Travel and Tourism",0,501-1000,1,Private Equity,10/05/2019,50000000,0,1,0,0,0,Private,0,44,0,0,0,0,4,Colombia,Rionegro,Antioquia,Latin America,0
LastFood,"Food Delivery, Restaurants, Waste Management",Making food waste sexy,"34,762",0,0,Active,01/10/2020,,For Profit,1,0,0,0,1,0,2,"Food and Beverage, Sustainability, Transportation",1,1001-2000,1,Seed,13/01/2021,100000,0,0,0,0,0,Private,0,28,0,0,0,0,0,Colombia,Medellín,Antioquia,Latin America,0
Fitpal,"Fitness, Training, Wellness",Fitpal is a monthly membership that gives you unlimited access to over 500 fitness studios in Colombia.,"34,928",0,1000000,Active,01/01/2015,,For Profit,1,1,1,1,1,1,5,"Education, Health Care, Sports",3,0-50,2,,06/08/2018,1000000,0,2,0,0,0,Private,1,56,2,162,26,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Melonn,,Melonn enables any retailer to offer an Amazon Prime-like experience to end consumers with its fulfillment & back-end technology services,"37,673",0,0,Active,05/11/2020,,For Profit,1,0,0,1,0,0,0,,0,0-50,1,Seed,15/01/2021,2200000,0,0,0,0,0,Private,0,23,0,0,0,0,0,Colombia,Medellín,Antioquia,Latin America,0
MUVO,"Apps, Internet of Things, Ride Sharing, Transportation",Muvo is the largest dockless e-bike player from Latam,"39,617",0,0,Active,01/01/2017,,For Profit,1,1,1,1,1,0,2,"Apps, Internet Services, Software, Transportation",3,0-50,4,,22/04/2020,2000000,1,3,0,0,0,Private,0,28,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Telemetrik,"Industrial, Internet of Things, Marketing Automation","Telemetrik specializes in the design, development, implementation, commercialization, and operation of IoT solutions.","41,465","1,000,000",10000000,Active,15/09/2006,,For Profit,1,0,0,0,0,0,1,"Internet Services, Manufacturing, Sales and Marketing, Software",0,0-50,1,Early Stage Venture,01/05/2016,420675,1,1,0,0,0,Private,0,11,0,0,0,1,2,Colombia,Medellín,Antioquia,Latin America,0
Ole,"Environmental Engineering, Food Delivery",Ole is a delivery app which do ecological compensation for every action in the app.,"42,371",0,0,Active,01/04/2019,,For Profit,1,0,1,1,1,1,0,"Food and Beverage, Science and Engineering, Sustainability, Transportation",0,1001-2000,1,Seed,04/10/2019,43461,0,1,0,0,0,Private,0,17,0,0,0,0,0,Colombia,Villavicencio,Meta,Latin America,0
Neivor,Internet,Neivor is a fintech company which want to digitalize the administartion and payments made by the residential complexes and buildings .,"42,523",0,0,Active,,,For Profit,1,0,1,1,1,1,0,Internet Services,0,0-50,1,Seed,18/02/2021,600000,1,5,0,0,0,Private,0,0,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Mandaos,"Automotive, Courier Service, Delivery, Delivery Service, Information Technology, Logistics, Mobile Apps, Outsourcing",Mandaos is a digital platform that connects companies and people with a network of independent messengers,"43,154",0,0,Active,01/01/2016,,For Profit,1,1,1,1,1,1,0,"Administrative Services, Apps, Information Technology, Mobile, Professional Services, Software, Transportation",1,1001-2000,5,Seed,15/07/2019,125629,0,0,0,0,0,Private,0,68,0,0,0,0,0,Colombia,Barranquilla,Atlantico,Latin America,0
Qinaya,"Cloud Data Services, Web Development","Qinaya offers a range of web design and development, SEO, print advertising, and corporate graphic line services.","44,001",0,0,Active,,,For Profit,1,0,0,0,0,0,0,"Information Technology, Internet Services, Software",0,2001-5000,2,Seed,23/02/2021,235383,0,2,0,0,0,Private,0,1,0,0,0,0,0,Colombia,Canadá,Cundinamarca,Latin America,0
"Alegra, sistema contable, administrativo y de facturación","Accounting, Apps, E-Commerce, Internet, Mobile Apps, Software",www.alegra.com es un eficiente y sencillo Sistema de Administración y facturación en la Nube para pequeñas y medianas empresas.,"44,183",0,0,Active,01/01/2013,,For Profit,1,1,1,1,1,0,5,"Apps, Commerce and Shopping, Financial Services, Internet Services, Mobile, Professional Services, Software",0,51-100,1,,21/01/2020,76000,0,0,0,0,0,Private,2,82,2,"3,894",0,0,0,Colombia,Medellín,Antioquia,Latin America,0
Autolab,Automotive,Autolab is an auto aftermarket platform offering high quality service at scale,"45,297","1,000,000",10000000,Active,01/01/2014,,For Profit,1,1,1,0,1,1,2,Transportation,1,0-50,4,Early Stage Venture,01/09/2017,3557000,1,1,0,0,0,Private,0,30,0,0,15,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Valienta,"E-Commerce, E-Commerce Platforms, Marketplace, Payments, Retail, Retail Technology, Wholesale",Valienta is a marketplace that enables social sellers to create their own virtual store and supply it with products from renowned brands.,"46,283",0,1000000,Active,06/01/2020,,For Profit,1,0,1,0,1,0,0,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Payments, Software",3,1001-2000,1,Seed,16/03/2020,200000,0,1,0,0,0,Private,0,12,0,0,0,0,0,Colombia,Medellín,Antioquia,Latin America,1
SURA Asset Management,Financial Services,"SURA Asset Management is a company specialized in Savings, Protection and Investment.","46,937","50,000,000",100000000,Active,01/01/2011,,For Profit,1,0,0,1,1,0,0,Financial Services,0,5001-10000,1,Private Equity,24/12/2018,247000000,1,1,0,0,0,Private,0,51,0,0,0,0,0,Colombia,Medellín,Antioquia,Latin America,0
Tranqui,"Finance, Financial Services, FinTech",Tranqui is a digital financial advisor that combines technology with financial planning to help people make better financial decisions.,"47,378","1,000,000",10000000,Active,01/01/2017,,For Profit,1,1,1,1,0,0,0,Financial Services,3,1001-2000,2,Seed,19/08/2019,150000,0,2,0,0,0,Private,0,53,0,0,19,0,0,Colombia,Cali,Valle del Cauca,Latin America,0
LoQueNecesito.co,"Commercial Real Estate, FinTech, Real Estate",Best mortgage credit and online housing for all low and middle class Latin Americans,"47,534",0,0,Active,01/01/2017,,For Profit,1,0,1,1,1,1,6,"Financial Services, Real Estate",1,0-50,2,Seed,30/08/2019,910000,1,2,0,0,0,Private,0,43,0,0,20,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Credivalores-Crediservicios,"Credit, Finance, Financial Services, FinTech","Credivalores-Crediservicios, S.A.S. provides consumer loans in Colombia","47,641","1,000,000,000",10000000000,Active,01/01/2003,,For Profit,1,1,1,1,1,0,0,"Financial Services, Lending and Investments",1,10001+,2,,29/09/2014,34000000,2,2,0,0,0,Private,0,25,5,"8,641",16,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Virgin Mobile Latin America,"Mobile, Telecommunications, Wireless","VMLA is the largest and fastest growing mobile virtual operator with operations in Mexico, Colombia, Chile and Peru.","47,703","500,000,000",1000000000,Active,01/01/2010,,For Profit,1,0,1,0,1,1,9,"Hardware, Mobile",4,501-1000,2,Late Stage Venture,16/02/2013,46500000,1,5,0,0,0,Private,0,13,2,"6,377",10,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Canacol Energy,"Energy, Energy Efficiency, Oil and Gas, Renewable Energy",Canacol Energy Ltd. is a Canadian-based international junior energy company.,"49,057","10,000,000",50000000,Active,01/01/2008,,For Profit,1,0,1,1,1,1,5,"Energy, Natural Resources, Sustainability",2,0-50,1,IPO,10/11/2014,100000000,0,0,0,0,0,Public,0,31,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Datawifi,"Internet, Telecommunications, Wireless","Lead platform in LATAM that helps you to acquire, and qualify sale leads using WiFi networks.","49,411","1,000,000",10000000,Active,01/01/2019,,For Profit,1,0,0,1,1,1,13,"Hardware, Internet Services, Mobile",3,0-50,4,Seed,07/12/2019,490000,2,2,0,0,0,Private,0,15,0,0,16,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
EdgeUno,Internet,"EdgeUno is a Internet, Datacenter and Managed Services provider in Latin America","49,572","1,000,000",10000000,Active,01/01/2018,,For Profit,1,0,0,1,1,1,1,Internet Services,2,51-100,1,Seed,04/01/2018,500000,0,0,0,0,0,Private,0,32,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
ImagineX,"Augmented Reality, Big Data, Mobile Apps, Software, Virtual Reality",ImagineX helps companies to increase their sales through digital channels using amazing visualization techs. We create new realities!,"50,150",0,0,Active,01/03/2018,,For Profit,1,0,1,1,1,1,8,"Apps, Data and Analytics, Hardware, Mobile, Software",1,0-50,2,Seed,30/07/2020,550000,1,2,0,0,0,Private,0,3,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Linxe,"Credit, Employee Benefits, Financial Services, FinTech, Sustainability, Wellness","With our embedded finance platform, we are directly connected to payroll providers; this allows us to have real-time information and significantly increase monthly installment payments reliability. We want to help 90% of LATAM employees build a community of Linxers where they would have on-demand access to any product and services they need, using the payroll discount of their salary as a new payment method.","51,145","10,000,000",50000000,Active,01/03/2019,,For Profit,1,0,1,1,1,1,1,"Administrative Services, Financial Services, Health Care, Lending and Investments, Sustainability",2,1001-2000,2,Seed,15/01/2020,1000000,0,1,0,0,0,Private,0,30,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Nethub,"Analytics, Business Intelligence, Enterprise Software, Semantic Web",Nethub offers a cloud-based tool for centralizing consumer information from any type of marketing interaction of B2C companies.,"51,821",0,1000000,Active,30/05/2011,,For Profit,1,1,0,0,1,1,0,"Data and Analytics, Internet Services, Software",2,0-50,4,Seed,01/01/2013,451612,1,3,0,0,0,Private,0,10,0,0,14,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Saludtools,"Electronic Health Record (EHR), Health Care, Medical, Pharmaceutical",We are about enabling better living conditions for everyone. We are a company that breaks barriers between healthcare providers and patients,"51,849",0,0,Active,14/09/2014,,For Profit,1,1,1,1,1,0,3,Health Care,2,0-50,1,Seed,25/01/2020,400000,0,1,0,0,0,Private,0,80,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
mi.tv,"Internet, Mobile","A social TV Guide for mobile and desktop, focusing on growth markets in Latin America.","52,458","1,000,000",10000000,Active,01/05/2014,,For Profit,1,1,1,1,1,0,22,"Internet Services, Mobile",3,0-50,3,Seed,01/02/2016,321162,0,1,0,0,0,Private,0,27,2,"4,604",12,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Hometuls,,Hometuls connects suppliers with construction projects.,"52,459",0,0,Active,01/01/2019,,For Profit,1,0,1,1,1,1,1,,0,1001-2000,2,Seed,31/12/2020,375000,0,4,0,0,0,Private,0,45,0,0,21,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
ERCO,"Electric Vehicle, Energy, Energy Storage, Renewable Energy, Solar",We build and manage Distributed Generation (DG) energy systems for industrial and commercial clients. #1 EPC in Colombia.,"52,870",0,0,Active,15/11/2012,,For Profit,1,1,1,1,1,0,0,"Energy, Natural Resources, Sustainability, Transportation",2,0-50,2,Early Stage Venture,01/11/2018,1000000,1,1,0,0,0,Private,0,12,0,0,20,0,0,Colombia,Medellín,Antioquia,Latin America,0
Valtik Foods,"Energy, Fitness, Food and Beverage, Food Processing, Health Care, Nutrition, Sports","Valtik Foods develops fast-absorbing hydration mixes, energy bars, energy chews and the RTD protein shakes under the trademark TITANIUM.","52,981",0,0,Active,01/04/2014,,For Profit,1,1,1,1,1,1,2,"Energy, Food and Beverage, Health Care, Sports",2,0-50,1,Seed,01/03/2019,500000,1,1,0,0,0,Private,0,41,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Licify,"Construction, Procurement, SaaS","Specialized procurment management platform that generates an efficient and transparent community with developers, contractors and suppliers.","54,430","1,000,000",10000000,Active,01/09/2017,,For Profit,1,1,1,1,1,1,0,"Real Estate, Software, Transportation",3,0-50,1,Seed,10/11/2017,150000,0,1,0,0,0,Private,4,89,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Ocensa,Oil and Gas,Ocensa Colombia's crude oil transportation system.,"54,984",0,0,Active,16/12/1994,,For Profit,1,0,0,0,0,0,6,"Energy, Natural Resources",0,251-500,1,Private Equity,13/11/2013,1100000000,1,1,0,0,0,Private,0,46,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
ePayco,"Commercial, Digital Marketing, E-Commerce",Ecommerce solutions por persons and small companies,"56,125","1,000,000",10000000,Active,06/10/2011,,For Profit,1,0,0,0,1,1,2,"Commerce and Shopping, Other, Sales and Marketing",0,0-50,1,Seed,01/07/2016,50000,0,1,0,0,0,Private,0,65,3,0,34,0,0,Colombia,Medellín,Antioquia,Latin America,0
Crezcamos,"Finance, Financial Services",Crezcamos is a microfinance company that gives you easy and fast money.,"56,527",0,1000000,Active,01/01/2008,,Other,1,0,0,1,1,1,1,Financial Services,0,501-1000,2,Private Equity,30/06/2020,6500000,1,1,0,0,0,Private,0,48,0,0,0,0,0,Colombia,Bucaramanga,Cundinamarca,Latin America,0
Brainz Games,"Developer Platform, Gaming, Mobile",Brainz is an entertainment company focusing on developing original story-driven IPs through mid-core games for social and mobile platforms.,"56,661",0,1000000,Active,01/01/2010,,For Profit,1,1,1,0,1,1,2,"Gaming, Mobile, Software",3,0-50,5,M&A,05/05/2015,3000000,1,1,0,0,1,Private,0,36,1,0,18,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Cajero,"Financial Services, FinTech, Payments",Payment facilitator for Micro-commerce in Colombia + Andean region,"56,725","1,000,000",10000000,Active,01/01/2018,,For Profit,1,1,1,1,1,1,0,"Financial Services, Payments",1,0-50,1,Seed,23/10/2019,100000,0,1,0,0,0,Private,0,43,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Xertify,"Blockchain, Document Management, Education",Xertify is a certified network where people and institutions people can exchange trusty digital credentials using blockchain technology.,"57,422",0,1000000,Active,01/01/2017,,For Profit,1,1,1,1,1,1,0,"Education, Information Technology, Other, Software",2,1001-2000,1,Seed,04/09/2019,180000,0,1,0,0,0,Private,1,17,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Shalder,"Employment, Freelance, Internet, Peer to Peer","Shalder is a flexible work community, empowering businesses across LATAM to access the talent they need, on-demand, without biddings.","58,531",0,0,Active,20/04/2019,,For Profit,1,1,1,1,1,1,0,"Internet Services, Other, Professional Services",3,1001-2000,2,Seed,22/01/2021,50000,1,1,0,0,0,Private,0,0,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Pidefarma,"Beauty, E-Commerce, Health Care, Internet",PideFarma.com is the first 100% virtual pharmacy in the Andean Region. PideFarma will take advantage of the opportunities of an atomised,"58,756",0,1000000,Active,01/01/2013,,For Profit,1,1,1,0,1,1,0,"Commerce and Shopping, Consumer Goods, Health Care, Internet Services",3,0-50,5,Seed,01/05/2015,975113,1,2,0,0,0,Private,0,9,1,0,12,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Boro,"Apps, Banking, FinTech, Mobile Apps","Boro is a digital-only bank-platform based in Bogotá, Colombia.","60,160",0,0,Active,01/05/2018,,For Profit,1,1,0,1,1,0,0,"Apps, Financial Services, Lending and Investments, Mobile, Software",0,1001-2000,1,Seed,10/01/2019,65000,0,0,0,0,0,Private,0,34,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Viajala,"Hospitality, Tourism, Travel",Viajala is a travel metasearch company for LATAM,"60,274","1,000,000",10000000,Active,01/01/2013,,For Profit,1,1,1,1,0,0,9,Travel and Tourism,5,0-50,4,Seed,11/12/2018,875000,1,6,0,0,0,Private,0,42,0,0,13,0,1,Colombia,Medellín,Antioquia,Latin America,0
Neumarket,"Automotive, E-Commerce, Retail, Sales, Shopping",Neumarket sells tire online in Colombia and Mexico.,"60,619","1,000,000",10000000,Active,01/08/2012,,For Profit,1,1,1,1,1,1,3,"Commerce and Shopping, Sales and Marketing, Transportation",2,0-50,2,Seed,01/06/2017,2100000,1,3,0,0,0,Private,0,37,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
ProductividApp,Software,SaaS,"61,087",0,0,Active,28/04/2016,,For Profit,1,1,1,1,1,1,0,Software,2,0-50,2,Seed,01/11/2019,380000,1,2,0,0,0,Private,0,48,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Blueberries Medical Co.,"Health Care, Pharmaceutical","Blueberries Medical Corp is a Colombia-based fully licensed producer of naturally-grown, premium-quality medicinal cannabis products.","61,337",0,1000000,Active,01/01/2013,,For Profit,1,1,1,1,1,1,1,Health Care,1,0-50,1,IPO,16/07/2020,736749,1,1,1,1,0,Public,0,24,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
DataTF,SaaS,"Saas, Mobile, Field Service Management, BI","61,611",0,0,Active,09/08/2009,,For Profit,1,0,0,1,1,1,0,Software,1,0-50,1,Seed,18/09/2018,450000,0,1,0,0,0,Private,1,12,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Bluspot,"FinTech, Information Technology, Real Estate, Smart Cities",We are a tech company creating high impact products for the fintech industry in Latin America,"61,763",0,1000000,Active,22/01/2017,,For Profit,1,0,1,1,1,1,3,"Financial Services, Information Technology, Real Estate",5,1001-2000,2,Seed,18/03/2019,300000,0,2,0,0,0,Private,0,4,0,94,0,0,0,Colombia,Medellín,Antioquia,Latin America,0
Interacpedia,Information Technology,"Reinventing the connection between Talent & Organizations, solving real challenges!","62,567","1,000,000",10000000,Active,15/02/2015,,For Profit,1,1,1,1,1,1,0,Information Technology,3,0-50,1,Seed,01/03/2019,850000,1,5,0,0,0,Private,0,41,0,0,17,0,0,Colombia,Medellín,Antioquia,Latin America,0
HoyTrabajas.com,"Human Resources, Recruiting",We find the talents companies need in record time,"65,472",0,0,Active,28/08/2018,,For Profit,1,1,1,1,1,1,0,"Administrative Services, Professional Services",6,0-50,2,Seed,01/02/2019,341000,0,1,0,0,0,Private,0,33,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Zwapp,"B2B, Mobile Payments, SaaS, Sales",Latam-focused B2B SaaS mobile rewards platform for incentivizing employees and external collaborators.,"66,708",0,0,Active,01/08/2018,,For Profit,1,1,1,1,1,1,0,"Financial Services, Mobile, Other, Payments, Sales and Marketing, Software",1,1001-2000,2,Seed,01/06/2020,200000,1,2,0,0,0,Private,0,24,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Red Mapache,"EdTech, Education, Gamification",Mapache Studios is an Edutainment Media Company that develops games for mobile education.,"66,712",0,1000000,Active,09/07/2012,,For Profit,1,1,1,1,1,1,0,"Education, Gaming, Software",1,1001-2000,5,Seed,01/07/2014,442452,1,2,0,0,0,Private,0,16,2,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Neoalgae,"Biofuel, Biotechnology, Cosmetics, Pharmaceutical, Water Purification","Neoalgae is a biotechnology company dedicated to providing scientific advice in aquaculture, especially in microalgae.","67,124",0,1000000,Active,01/01/2012,,For Profit,1,1,1,1,1,1,0,"Biotechnology, Consumer Goods, Energy, Health Care, Natural Resources, Science and Engineering, Sustainability",2,0-50,1,,01/10/2016,1558352,1,1,0,0,0,Private,0,34,0,0,0,0,0,Colombia,Asturias,Cundinamarca,Latin America,0
Reciclados Industriales,"Industrial, Mining, Oil and Gas",Expertos en el reaprovechamiento y reutilización de RCD,"67,840","1,000,000",10000000,Active,01/01/2010,,For Profit,1,0,0,0,0,0,9,"Energy, Manufacturing, Natural Resources",1,1001-2000,1,Early Stage Venture,31/08/2017,2203300,1,1,0,0,0,Private,0,18,0,0,0,0,0,Colombia,Cota,Cundinamarca,Latin America,0
Tusdatos.co,"Cyber Security, SaaS, Security, Software",Background checks and identity validation in one click,"68,412",0,0,Active,05/12/2018,,For Profit,1,1,1,1,1,1,0,"Information Technology, Privacy and Security, Software",0,1001-2000,1,Seed,21/01/2020,100000,0,1,0,0,0,Private,0,26,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Ressolve,"Artificial Intelligence, Information Technology, Machine Learning, Software, Speech Recognition, Text Analytics",Artificial intelligence focused in Speech/text analytics and NLP/NLU,"68,493",0,0,Active,01/09/2019,,For Profit,1,0,0,0,1,1,1,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",3,0-50,1,Seed,09/12/2020,200000,0,0,0,0,0,Private,0,22,0,0,0,0,0,Colombia,Medellín,Antioquia,Latin America,0
NEU Energy,"Artificial Intelligence, Energy",AI-Driven Distributed Energy Service Provider,"68,790",0,0,Active,10/01/2019,,For Profit,1,1,0,1,1,1,0,"Artificial Intelligence, Data and Analytics, Energy, Science and Engineering, Software",2,1001-2000,1,Seed,12/01/2020,100000,0,0,0,0,0,Private,0,48,0,0,0,0,0,Colombia,Medellín,Antioquia,Latin America,0
TOMi,EdTech,Helps teachers to create interactive class flow even in offline classrooms in developing countries,"68,942",0,0,Active,15/01/2019,,For Profit,1,0,1,1,1,1,0,"Education, Software",2,0-50,1,Seed,01/04/2019,500000,1,1,0,0,0,Private,1,8,0,0,0,0,0,Colombia,Medellín,Antioquia,Latin America,0
Savy,"Fitness, Marketplace, Wellness",Savy is a marketplace to uberize the fitness & wellness industry by introducing classes and single entrance with dynamic pricing.,"69,157",0,1000000,Active,21/03/2018,,For Profit,1,0,1,1,1,1,0,"Commerce and Shopping, Health Care, Sports",3,0-50,1,Seed,31/05/2019,300000,0,0,0,0,0,Private,0,45,0,0,0,0,0,Colombia,Usaquén,Distrito Especial,Latin America,0
